iter	RMSE
0	7.390332402
1	6.962287417
2	6.693766539
3	6.546297121
4	6.533511907
5	6.429460216
6	6.365932105
7	6.250082265
8	6.152057788
9	6.045785207
10	5.972192469
11	5.853657844
12	5.753019324
13	5.647453054
14	5.575336171
15	5.506783414
16	5.442741981
17	5.401761146
18	5.296876394
19	5.233306414
20	5.170811839
21	5.102659147
22	5.071066245
23	5.007010668
24	4.951794862
25	4.896332516
26	4.834409741
27	4.777505016
28	4.732661918
29	4.674751123
30	4.63738951
31	4.605910729
32	4.58098624
33	4.544968251
34	4.476103074
35	4.42700672
36	4.385026658
37	4.348731152
38	4.334259471
39	4.293259003
40	4.25286109
41	4.213421429
42	4.175625409
43	4.139259109
44	4.091311342
45	4.065452631
46	4.033701639
47	3.981153401
48	3.9548498
49	3.922869897
50	3.896155885
51	3.865535279
52	3.846416795
53	3.805931386
54	3.767078692
55	3.721441565
56	3.691495243
57	3.678402035
58	3.647045967
59	3.626388414
60	3.598757422
61	3.557939763
62	3.530198401
63	3.499559909
64	3.468999203
65	3.435253374
66	3.410130073
67	3.374081797
68	3.347609299
69	3.310166226
70	3.290128607
71	3.26446295
72	3.226444638
73	3.202040696
74	3.182569233
75	3.170422271
76	3.143206331
77	3.118389518
78	3.088948773
79	3.06482825
80	3.041223821
81	3.013461741
82	2.988005794
83	2.953547809
84	2.931707162
85	2.923931252
86	2.906834051
87	2.880722111
88	2.863904005
89	2.836844771
90	2.827826509
91	2.805847968
92	2.778096523
93	2.758493596
94	2.741869237
95	2.71748183
96	2.699728561
97	2.682311008
98	2.664191779
99	2.648340137
100	2.62850421
101	2.612301692
102	2.59895624
103	2.594824331
104	2.577829186
105	2.567570299
106	2.55414997
107	2.527868129
108	2.50373851
109	2.484640587
110	2.461915746
111	2.445862624
112	2.429448543
113	2.41555411
114	2.409018286
115	2.388354489
116	2.365389471
117	2.3504625
118	2.343972694
119	2.32806189
120	2.305019462
121	2.294086878
122	2.282794532
123	2.263447598
124	2.240291953
125	2.223448678
126	2.21603713
127	2.206027044
128	2.192672743
129	2.178405767
130	2.168511208
131	2.162429588
132	2.146012698
133	2.127252699
134	2.114504261
135	2.096533449
136	2.079680731
137	2.060794918
138	2.047149496
139	2.029664459
140	2.017944164
141	2.006025388
142	1.988408456
143	1.978020799
144	1.963501724
145	1.954093892
146	1.939153947
147	1.92924945
148	1.917808908
149	1.910895261
150	1.902142124
151	1.886546013
152	1.874338927
153	1.860011944
154	1.847785267
155	1.834284334
156	1.827227027
157	1.816361854
158	1.807127711
159	1.801463625
160	1.78439513
161	1.776283627
162	1.769868691
163	1.759665421
164	1.751825574
165	1.738503642
166	1.73033065
167	1.722775221
168	1.712943717
169	1.7026285
170	1.688462394
171	1.676897079
172	1.663669854
173	1.661139338
174	1.644447819
175	1.633580328
176	1.622664264
177	1.608989459
178	1.594951953
179	1.583395374
180	1.577360288
181	1.566772733
182	1.555092747
183	1.541889192
184	1.530502008
185	1.525472983
186	1.519575682
187	1.512824005
188	1.509813745
189	1.498950063
190	1.487043613
191	1.479086453
192	1.474556978
193	1.470867461
194	1.466017861
195	1.462603632
196	1.452388982
197	1.444177402
198	1.435297997
199	1.42264282
