iter	Passed	Remaining
0	100	100462
1	166	83041
2	230	76702
3	304	75753
4	394	78422
5	460	76315
6	530	75221
7	610	75760
8	663	73088
9	754	74727
10	842	75713
11	904	74440
12	1005	76323
13	1090	76836
14	1181	77594
15	1258	77424
16	1324	76595
17	1390	75862
18	1470	75939
19	1556	76282
20	1658	77310
21	1718	76391
22	1792	76158
23	1870	76083
24	1938	75584
25	1998	74874
26	2062	74336
27	2123	73722
28	2190	73344
29	2246	72623
30	2303	71989
31	2358	71350
32	2432	71276
33	2495	70905
34	2552	70379
35	2617	70096
36	2697	70217
37	2761	69905
38	2824	69587
39	2885	69240
40	2946	68923
41	3016	68813
42	3102	69038
43	3168	68851
44	3232	68611
45	3310	68651
46	3381	68567
47	3449	68405
48	3519	68313
49	3600	68417
50	3670	68292
51	3766	68674
52	3840	68627
53	3911	68521
54	3963	68107
55	4023	67824
56	4087	67621
57	4159	67551
58	4220	67314
59	4301	67384
60	4403	67779
61	4476	67726
62	4546	67624
63	4597	67239
64	4663	67085
65	4735	67010
66	4803	66883
67	4863	66663
68	4930	66531
69	4999	66424
70	5085	66537
71	5150	66381
72	5207	66123
73	5262	65856
74	5323	65655
75	5400	65658
76	5464	65508
77	5517	65219
78	5578	65037
79	5637	64836
80	5695	64622
81	5760	64494
82	5824	64348
83	5894	64275
84	5964	64204
85	6028	64065
86	6097	63988
87	6145	63688
88	6204	63507
89	6269	63386
90	6326	63199
91	6393	63096
92	6455	62962
93	6552	63157
94	6611	62984
95	6684	62943
96	6762	62956
97	6827	62837
98	6895	62753
99	6960	62643
100	7019	62481
101	7086	62387
102	7154	62303
103	7214	62159
104	7279	62051
105	7339	61902
106	7394	61713
107	7458	61597
108	7524	61511
109	7589	61406
110	7654	61303
111	7714	61164
112	7772	61008
113	7829	60853
114	7895	60757
115	7956	60633
116	8015	60493
117	8088	60459
118	8157	60394
119	8223	60308
120	8283	60176
121	8346	60068
122	8412	59978
123	8471	59846
124	8535	59748
125	8603	59676
126	8667	59581
127	8738	59531
128	8798	59404
129	8862	59313
130	8928	59230
131	8992	59130
132	9057	59042
133	9130	59009
134	9198	58938
135	9270	58895
136	9339	58829
137	9404	58745
138	9465	58631
139	9527	58526
140	9588	58415
141	9665	58400
142	9737	58359
143	9815	58345
144	9883	58276
145	9953	58223
146	10037	58243
147	10106	58182
148	10174	58109
149	10228	57963
150	10287	57841
151	10346	57720
152	10406	57607
153	10466	57497
154	10531	57415
155	10594	57319
156	10655	57212
157	10722	57142
158	10791	57077
159	10859	57011
160	10929	56954
161	10990	56849
162	11057	56780
163	11116	56664
164	11197	56668
165	11271	56627
166	11332	56529
167	11402	56469
168	11468	56394
169	11533	56308
170	11612	56296
171	11678	56219
172	11747	56157
173	11816	56093
174	11880	56008
175	11943	55917
176	12000	55797
177	12061	55701
178	12129	55632
179	12181	55491
180	12250	55431
181	12308	55321
182	12375	55250
183	12438	55160
184	12510	55114
185	12570	55014
186	12630	54911
187	12693	54825
188	12762	54762
189	12825	54675
190	12887	54586
191	12945	54480
192	13017	54430
193	13086	54369
194	13153	54301
195	13221	54234
196	13281	54137
197	13344	54051
198	13412	53987
199	13479	53916
200	13549	53859
201	13609	53765
202	13663	53643
203	13719	53533
204	13781	53447
205	13848	53375
206	13902	53258
207	13965	53177
208	14030	53101
209	14095	53027
210	14164	52965
211	14227	52883
212	14287	52789
213	14350	52706
214	14418	52643
215	14494	52611
216	14552	52510
217	14611	52412
218	14667	52306
219	14732	52232
220	14791	52137
221	14852	52049
222	14912	51960
223	14978	51889
224	15049	51835
225	15118	51776
226	15186	51714
227	15246	51623
228	15313	51556
229	15371	51460
230	15431	51372
231	15494	51292
232	15559	51217
233	15621	51135
234	15708	51137
235	15810	51182
236	15976	51435
237	16075	51468
238	16184	51532
239	16263	51499
240	16391	51622
241	16473	51597
242	16577	51642
243	16705	51758
244	16770	51679
245	16835	51601
246	16909	51549
247	16972	51463
248	17038	51389
249	17121	51363
250	17189	51293
251	17265	51249
252	17332	51176
253	17398	51100
254	17457	51002
255	17530	50948
256	17615	50926
257	17687	50870
258	17780	50870
259	17872	50868
260	17946	50812
261	18010	50733
262	18084	50677
263	18151	50604
264	18221	50538
265	18277	50434
266	18330	50321
267	18388	50224
268	18456	50155
269	18515	50060
270	18582	49986
271	18646	49906
272	18725	49866
273	18798	49808
274	18859	49720
275	18924	49643
276	18998	49588
277	19057	49494
278	19130	49438
279	19204	49382
280	19264	49291
281	19318	49187
282	19372	49082
283	19434	48996
284	19497	48915
285	19552	48813
286	19607	48712
287	19671	48631
288	19735	48553
289	19798	48471
290	19861	48390
291	19923	48307
292	19977	48205
293	20041	48126
294	20109	48057
295	20175	47983
296	20234	47894
297	20311	47848
298	20374	47768
299	20438	47690
300	20508	47625
301	20571	47545
302	20626	47446
303	20679	47344
304	20737	47253
305	20792	47157
306	20848	47061
307	20904	46967
308	20960	46873
309	21021	46789
310	21081	46704
311	21148	46635
312	21206	46545
313	21268	46464
314	21335	46395
315	21395	46311
316	21457	46232
317	21530	46176
318	21596	46103
319	21652	46010
320	21735	45976
321	21800	45902
322	21864	45826
323	21915	45725
324	21970	45631
325	22032	45552
326	22086	45455
327	22150	45381
328	22206	45291
329	22274	45224
330	22334	45141
331	22394	45059
332	22460	44988
333	22517	44899
334	22575	44813
335	22635	44731
336	22703	44666
337	22760	44578
338	22814	44484
339	22875	44404
340	22933	44319
341	22992	44236
342	23065	44181
343	23120	44091
344	23192	44031
345	23253	43953
346	23307	43861
347	23362	43771
348	23418	43683
349	23478	43603
350	23531	43510
351	23586	43420
352	23647	43341
353	23703	43256
354	23766	43182
355	23830	43109
356	23888	43025
357	23942	42935
358	24002	42856
359	24069	42790
360	24131	42714
361	24192	42637
362	24251	42556
363	24315	42485
364	24387	42426
365	24453	42359
366	24516	42286
367	24578	42210
368	24643	42140
369	24714	42082
370	24882	42186
371	25018	42235
372	25111	42210
373	25187	42158
374	25257	42096
375	25327	42033
376	25399	41972
377	25464	41902
378	25538	41845
379	25632	41821
380	25719	41785
381	25806	41749
382	25882	41695
383	26010	41725
384	26078	41657
385	26151	41598
386	26223	41537
387	26283	41457
388	26337	41368
389	26391	41278
390	26447	41192
391	26527	41145
392	26735	41293
393	26851	41298
394	26938	41260
395	27055	41266
396	27142	41226
397	27220	41172
398	27311	41138
399	27451	41176
400	27510	41093
401	27564	41003
402	27627	40926
403	27700	40865
404	27780	40813
405	27854	40752
406	27910	40666
407	28130	40816
408	28235	40799
409	28342	40786
410	28440	40757
411	28530	40718
412	28628	40690
413	28709	40636
414	28781	40571
415	28856	40510
416	28958	40485
417	29054	40453
418	29137	40403
419	29206	40332
420	29263	40245
421	29317	40155
422	29380	40076
423	29441	39996
424	29510	39926
425	29565	39836
426	29624	39753
427	29681	39667
428	29743	39588
429	29802	39505
430	29861	39422
431	29925	39346
432	29995	39278
433	30059	39201
434	30123	39125
435	30187	39050
436	30249	38970
437	30309	38890
438	30393	38840
439	30448	38752
440	30504	38666
441	30565	38587
442	30626	38507
443	30695	38439
444	30771	38378
445	30847	38317
446	30924	38257
447	31002	38198
448	31073	38132
449	31141	38062
450	31210	37992
451	31272	37914
452	31328	37829
453	31396	37758
454	31452	37673
455	31508	37589
456	31563	37503
457	31631	37433
458	31683	37343
459	31739	37259
460	31797	37177
461	31863	37104
462	31920	37022
463	31980	36942
464	32038	36861
465	32097	36781
466	32151	36694
467	32209	36614
468	32268	36534
469	32328	36456
470	32394	36383
471	32456	36307
472	32511	36222
473	32568	36141
474	32627	36062
475	32681	35976
476	32753	35911
477	32812	35833
478	32873	35755
479	32936	35681
480	32995	35602
481	33057	35526
482	33116	35448
483	33182	35376
484	33246	35303
485	33308	35227
486	33372	35154
487	33432	35076
488	33489	34995
489	33542	34911
490	33597	34828
491	33669	34764
492	33742	34700
493	33808	34630
494	33866	34550
495	33925	34472
496	33980	34390
497	34043	34316
498	34104	34240
499	34169	34169
500	34231	34095
501	34296	34023
502	34352	33942
503	34409	33863
504	34468	33785
505	34527	33708
506	34585	33630
507	34643	33552
508	34699	33472
509	34757	33394
510	34819	33320
511	34878	33243
512	34939	33168
513	34993	33086
514	35051	33009
515	35120	32942
516	35184	32870
517	35242	32793
518	35300	32716
519	35354	32635
520	35421	32566
521	35484	32493
522	35544	32418
523	35601	32340
524	35664	32267
525	35728	32196
526	35789	32122
527	35858	32055
528	35924	31985
529	35982	31909
530	36041	31833
531	36103	31760
532	36171	31692
533	36244	31629
534	36327	31573
535	36398	31508
536	36463	31438
537	36525	31365
538	36587	31293
539	36653	31223
540	36727	31161
541	36800	31096
542	36867	31028
543	36934	30959
544	36995	30886
545	37058	30814
546	37118	30739
547	37183	30669
548	37243	30595
549	37313	30528
550	37370	30452
551	37428	30376
552	37488	30302
553	37564	30241
554	37624	30167
555	37679	30089
556	37732	30009
557	37787	29932
558	37844	29855
559	37896	29775
560	37965	29708
561	38033	29641
562	38094	29569
563	38165	29503
564	38218	29425
565	38283	29355
566	38349	29286
567	38409	29212
568	38479	29146
569	38536	29071
570	38599	29000
571	38661	28928
572	38723	28857
573	38784	28783
574	38842	28709
575	38912	28643
576	38980	28576
577	39038	28502
578	39097	28428
579	39156	28354
580	39222	28286
581	39285	28215
582	39344	28141
583	39415	28076
584	39476	28004
585	39532	27928
586	39586	27852
587	39645	27779
588	39717	27714
589	39791	27651
590	39852	27579
591	39910	27505
592	39972	27434
593	40029	27360
594	40088	27287
595	40144	27212
596	40210	27143
597	40277	27076
598	40330	26999
599	40388	26925
600	40455	26858
601	40517	26787
602	40578	26715
603	40641	26645
604	40705	26576
605	40767	26505
606	40834	26437
607	40892	26364
608	40949	26290
609	41004	26216
610	41062	26142
611	41117	26067
612	41173	25993
613	41237	25924
614	41293	25850
615	41355	25779
616	41414	25707
617	41485	25643
618	41563	25582
619	41647	25525
620	41723	25463
621	41782	25391
622	41859	25330
623	41924	25262
624	41990	25194
625	42054	25125
626	42112	25052
627	42165	24977
628	42223	24904
629	42286	24834
630	42348	24764
631	42410	24694
632	42469	24622
633	42539	24557
634	42604	24489
635	42666	24419
636	42738	24354
637	42808	24289
638	42875	24222
639	42944	24156
640	43026	24097
641	43092	24029
642	43154	23959
643	43215	23889
644	43281	23821
645	43335	23747
646	43399	23678
647	43457	23606
648	43519	23536
649	43588	23470
650	43649	23400
651	43709	23329
652	43770	23259
653	43833	23190
654	43898	23122
655	43968	23056
656	44050	22997
657	44127	22935
658	44188	22865
659	44248	22794
660	44316	22727
661	44375	22656
662	44431	22584
663	44493	22514
664	44553	22444
665	44614	22374
666	44683	22308
667	44739	22235
668	44800	22165
669	44870	22100
670	44925	22027
671	44990	21959
672	45049	21888
673	45106	21816
674	45167	21747
675	45229	21678
676	45287	21607
677	45343	21535
678	45408	21467
679	45475	21400
680	45538	21331
681	45595	21260
682	45663	21193
683	45748	21135
684	45821	21071
685	45883	21001
686	45942	20931
687	45997	20859
688	46080	20799
689	46144	20731
690	46196	20658
691	46244	20582
692	46281	20502
693	46330	20428
694	46383	20355
695	46433	20281
696	46483	20207
697	46533	20133
698	46583	20059
699	46631	19984
700	46686	19913
701	46740	19841
702	46801	19772
703	46867	19705
704	46925	19635
705	46976	19562
706	47025	19488
707	47070	19413
708	47120	19340
709	47177	19269
710	47223	19195
711	47266	19118
712	47312	19044
713	47363	18972
714	47419	18901
715	47469	18828
716	47518	18755
717	47565	18681
718	47606	18605
719	47652	18531
720	47699	18457
721	47750	18385
722	47794	18311
723	47840	18237
724	47888	18164
725	47929	18089
726	47985	18019
727	48031	17945
728	48080	17873
729	48127	17800
730	48175	17728
731	48226	17656
732	48281	17586
733	48325	17512
734	48371	17440
735	48418	17367
736	48463	17294
737	48518	17224
738	48557	17149
739	48605	17077
740	48652	17005
741	48703	16934
742	48761	16866
743	48816	16797
744	48857	16722
745	48897	16648
746	48938	16574
747	49005	16509
748	49051	16437
749	49085	16361
750	49121	16286
751	49155	16210
752	49187	16134
753	49217	16057
754	49247	15981
755	49280	15905
756	49309	15828
757	49339	15752
758	49369	15675
759	49400	15600
760	49431	15524
761	49461	15448
762	49491	15372
763	49519	15296
764	49552	15222
765	49583	15146
766	49614	15072
767	49645	14997
768	49676	14922
769	49704	14846
770	49734	14771
771	49764	14697
772	49796	14623
773	49827	14549
774	49859	14475
775	49889	14401
776	49920	14327
777	49951	14253
778	49984	14180
779	50014	14106
780	50042	14032
781	50070	13958
782	50100	13884
783	50133	13812
784	50164	13739
785	50193	13666
786	50225	13593
787	50256	13520
788	50288	13448
789	50319	13376
790	50348	13303
791	50381	13231
792	50413	13159
793	50443	13087
794	50473	13015
795	50505	12943
796	50537	12872
797	50568	12800
798	50598	12728
799	50628	12657
800	50658	12585
801	50689	12514
802	50719	12443
803	50749	12371
804	50779	12300
805	50810	12229
806	50843	12159
807	50875	12089
808	50905	12018
809	50934	11947
810	50966	11877
811	50998	11807
812	51028	11737
813	51058	11667
814	51088	11596
815	51119	11526
816	51149	11457
817	51180	11387
818	51209	11317
819	51238	11247
820	51268	11177
821	51299	11108
822	51329	11039
823	51361	10970
824	51392	10901
825	51422	10832
826	51451	10763
827	51480	10694
828	51512	10625
829	51543	10557
830	51576	10489
831	51613	10421
832	51644	10353
833	51678	10286
834	51714	10219
835	51750	10152
836	51783	10084
837	51818	10017
838	51849	9949
839	51878	9881
840	51910	9814
841	51944	9747
842	51982	9681
843	52015	9614
844	52045	9546
845	52077	9479
846	52108	9412
847	52146	9346
848	52175	9279
849	52206	9212
850	52237	9146
851	52266	9079
852	52297	9012
853	52327	8945
854	52359	8879
855	52389	8813
856	52419	8746
857	52449	8680
858	52481	8614
859	52509	8548
860	52540	8482
861	52569	8416
862	52600	8350
863	52630	8284
864	52659	8218
865	52687	8152
866	52718	8087
867	52749	8021
868	52779	7956
869	52808	7890
870	52839	7825
871	52869	7760
872	52901	7695
873	52930	7630
874	52960	7565
875	52991	7501
876	53022	7436
877	53053	7371
878	53083	7307
879	53116	7243
880	53146	7178
881	53176	7114
882	53206	7050
883	53237	6985
884	53268	6921
885	53299	6857
886	53329	6793
887	53359	6730
888	53390	6666
889	53420	6602
890	53449	6538
891	53480	6475
892	53509	6411
893	53540	6348
894	53572	6285
895	53602	6221
896	53631	6158
897	53661	6095
898	53692	6032
899	53722	5969
900	53753	5906
901	53782	5843
902	53813	5780
903	53840	5717
904	53871	5655
905	53904	5592
906	53937	5530
907	53966	5468
908	53997	5405
909	54029	5343
910	54059	5281
911	54088	5219
912	54119	5157
913	54153	5095
914	54183	5033
915	54212	4971
916	54242	4909
917	54274	4848
918	54305	4786
919	54336	4724
920	54367	4663
921	54398	4602
922	54428	4540
923	54458	4479
924	54488	4418
925	54520	4356
926	54549	4295
927	54582	4234
928	54630	4175
929	54667	4114
930	54700	4054
931	54734	3993
932	54769	3933
933	54797	3872
934	54828	3811
935	54858	3751
936	54888	3690
937	54918	3629
938	54949	3569
939	54984	3509
940	55013	3449
941	55044	3389
942	55076	3329
943	55104	3268
944	55136	3208
945	55166	3149
946	55195	3089
947	55225	3029
948	55255	2969
949	55284	2909
950	55314	2850
951	55344	2790
952	55374	2730
953	55404	2671
954	55435	2612
955	55466	2552
956	55497	2493
957	55527	2434
958	55560	2375
959	55591	2316
960	55621	2257
961	55651	2198
962	55682	2139
963	55713	2080
964	55747	2021
965	55777	1963
966	55807	1904
967	55839	1845
968	55869	1787
969	55899	1728
970	55932	1670
971	55966	1612
972	56002	1554
973	56034	1495
974	56066	1437
975	56096	1379
976	56125	1321
977	56155	1263
978	56185	1205
979	56214	1147
980	56244	1089
981	56275	1031
982	56306	973
983	56336	916
984	56366	858
985	56398	800
986	56430	743
987	56459	685
988	56488	628
989	56517	570
990	56548	513
991	56575	456
992	56603	399
993	56632	341
994	56663	284
995	56693	227
996	56722	170
997	56753	113
998	56783	56
999	56816	0
