id,rri_vel_min,rri_vel_max,rri_vel_mean,rri_vel_median,rri_vel_std,rri_vel_skew,rri_vel_kurtosis,rri_acc_min,rri_acc_max,rri_acc_mean,rri_acc_median,rri_acc_std,rri_acc_skew,rri_acc_kurtosis,nni_vel_min,nni_vel_max,nni_vel_mean,nni_vel_median,nni_vel_std,nni_vel_skew,nni_vel_kurtosis,nni_acc_min,nni_acc_max,nni_acc_mean,nni_acc_median,nni_acc_std,nni_acc_skew,nni_acc_kurtosis
0,-6,152,2.276923076923077,0.0,19.125006284564076,7.723446029489314,61.31915972422552,-154,9,-2.4375,-1.0,19.788464653260327,-7.338354354920277,56.947601152411536,-6.0,75.0,2.276923076923077,0.0,13.434456274245544,5.081714593927552,26.342959312024014,-69.0,9.0,-1.234375,-1.0,9.704756136383164,-5.4935585356839765,38.49491627774797
1,-13,13,0.4411764705882353,1.0,7.97416729373798,-0.16758289129976436,-1.371459543857786,-21,19,0.12121212121212122,0.0,10.546793279705849,-0.03284807932817796,-0.2641569881367136,-13.0,13.0,0.4411764705882353,1.0,7.97416729373798,-0.16758289129976436,-1.371459543857786,-21.0,19.0,0.12121212121212122,0.0,10.546793279705849,-0.03284807932817796,-0.2641569881367136
2,-15,17,-0.8571428571428571,-1.5,8.058647463551123,0.29604918416645143,-0.4574114786122889,-24,19,0.2222222222222222,1.0,10.445217283645377,-0.2942030972354485,-0.36060145070222216,-15.0,17.0,-0.8571428571428571,-1.5,8.058647463551123,0.29604918416645143,-0.4574114786122889,-24.0,19.0,0.2222222222222222,1.0,10.445217283645377,-0.2942030972354485,-0.36060145070222216
3,-44,62,0.2465753424657534,0.0,16.116572579799314,0.7280940306700032,2.7215018673164,-55,73,1.1527777777777777,2.5,24.753238355348227,-0.023264352072445035,0.44071682407051105,-30.0,32.0,-0.6027397260273972,0.0,13.237929225049802,0.14259589691238478,-0.13744716909740484,-55.0,51.0,0.2916666666666667,1.5,21.584708658847447,-0.20866924213308313,0.1511397595879198
4,-47,50,-0.022727272727272728,-0.5,11.694738702478087,0.32414139809694664,12.914747113280425,-97,50,0.13953488372093023,1.0,18.42046144314838,-2.9968776091240388,19.941818728205558,-47.0,50.0,-0.022727272727272728,-0.5,11.694738702478087,0.32414139809694664,12.914747113280425,-97.0,50.0,0.13953488372093023,1.0,18.42046144314838,-2.9968776091240388,19.941818728205558
5,-221,135,-3.074074074074074,28.0,96.44325789966862,-0.6883212939817709,-0.2865676680727831,-329,261,3.769230769230769,19.0,161.3642606508164,-0.396597685427429,-0.5085105706356825,-110.5,95.0,-3.074074074074074,7.0,64.00160810835803,-0.3800875958207899,-1.104552784260708,-205.5,117.5,3.1923076923076925,0.0,76.59204618275673,-0.9141578047230998,1.3528645776015025
6,-17,13,-0.3076923076923077,-1.0,6.362529479422333,-0.1189893118839417,0.17526946916816755,-16,15,-0.23684210526315788,0.0,8.075435593728026,0.05698501182532059,-0.7612290226797644,-17.0,13.0,-0.3076923076923077,-1.0,6.362529479422333,-0.1189893118839417,0.17526946916816755,-16.0,15.0,-0.23684210526315788,0.0,8.075435593728026,0.05698501182532059,-0.7612290226797644
7,-185,166,-0.5365853658536586,-8.0,76.77958633679125,0.17529369881762696,0.11817369123381916,-346,289,-1.925,15.5,136.21163538914217,-0.43659641916240494,0.14730968280560042,-47.5,44.0,-0.5365853658536586,2.0,23.340252313305875,-0.2467477118573811,-0.3454026689323695,-42.0,89.0,0.0125,0.0,30.300945127850802,0.8449985723115234,0.7167402921499044
8,-208,196,0.4375,-8.5,117.12913440721795,0.007594338647278201,-1.1302153848832894,-395,329,-2.888888888888889,3.0,208.2232139076617,-0.08419126895501791,-1.0443093839264637,-64.0,101.0,2.203125,7.25,33.66993368754696,0.3113540885227243,0.9627249725064742,-139.5,105.5,-1.6031746031746033,0.0,42.538896691085306,-0.4083118005439756,1.5172643846171008
9,-173,223,1.0833333333333333,11.5,134.00573823082308,0.17320543396294377,-1.3152459599046487,-383,332,15.363636363636363,94.0,235.2412687974934,-0.6109460323077711,-0.9018211136060788,-110.5,84.0,1.0833333333333333,-7.0,62.366888553773364,-0.677910124779453,0.23414171631839142,-38.5,103.5,17.681818181818183,0.0,38.422176361622675,1.0477743923143719,1.473762015551464
10,-116,157,-3.4166666666666665,-4.0,74.89466032320018,0.8697044546177737,0.30848899747934855,-219,273,2.9565217391304346,2.0,137.04461060706723,0.2738391471789447,-0.15053508883758404,-68.0,28.5,-3.4166666666666665,4.5,32.17096539572217,-1.0372270839975781,-0.24527332872418217,-93.5,86.5,-2.9782608695652173,0.0,49.50194630261557,-0.11176599857370977,-0.22301681471914048
11,-55,52,-0.22580645161290322,3.0,27.356546660009748,-0.29046455476086386,-0.28175681403381514,-97,100,-0.13333333333333333,-1.5,51.3814224668084,-0.008563978297643172,-0.1768478390903092,-55.0,52.0,-0.22580645161290322,3.0,27.356546660009748,-0.29046455476086386,-0.28175681403381514,-97.0,100.0,-0.13333333333333333,-1.5,51.3814224668084,-0.008563978297643172,-0.1768478390903092
12,-12,10,-0.21739130434782608,0.0,5.8150003653492455,-0.20497870421111186,-0.4032578104722142,-20,17,-0.5,-0.5,9.323549293513251,-0.23382887442799924,0.6462003509437633,-12.0,10.0,-0.21739130434782608,0.0,5.8150003653492455,-0.20497870421111186,-0.4032578104722142,-20.0,17.0,-0.5,-0.5,9.323549293513251,-0.23382887442799924,0.6462003509437633
13,-9,15,0.6111111111111112,-0.5,5.18391896860048,0.6826294331980755,0.48744257627004606,-19,17,-0.11428571428571428,0.0,7.250847530872951,-0.24230278773607797,0.6075670001907079,-9.0,15.0,0.6111111111111112,-0.5,5.18391896860048,0.6826294331980755,0.48744257627004606,-19.0,17.0,-0.11428571428571428,0.0,7.250847530872951,-0.24230278773607797,0.6075670001907079
14,-11,10,-0.4827586206896552,-1.0,5.840870101859656,0.23653477922303454,-0.9270207770606214,-12,18,0.25,-1.0,8.626509529738357,0.29299139220775583,-0.967661708195084,-11.0,10.0,-0.4827586206896552,-1.0,5.840870101859656,0.23653477922303454,-0.9270207770606214,-12.0,18.0,0.25,-1.0,8.626509529738357,0.29299139220775583,-0.967661708195084
